ID,구분,단지/커뮤니티명,입주_공급시기,규모_세대수,우선순위,접촉상태,주요타겟제품,커뮤니티_URL,타겟대상
MKT-072,2026신축입주,울산다운2지구 B-2BL 우미린(사전청약),2026.01,1293세대,99,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=울산다운2지구 B-2BL 우미린(사전청약) 입주예정자협의회,신축 입주 예정자 (울산광역시 울주군 범서읍 서사리 305일원(울산다운2지구 B-2BL))
MKT-073,2026신축입주,더샵 청주그리니티,2026.01,1191세대,99,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=더샵 청주그리니티 입주예정자협의회,신축 입주 예정자 (충청북도 청주시 서원구 개신동 산104-6번지 일원)
MKT-074,2026신축입주,e편한세상 명덕역 퍼스트마크,2026.01,1112세대,99,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=e편한세상 명덕역 퍼스트마크 입주예정자협의회,신축 입주 예정자 (대구광역시 남구 대명동 2017-2번지 일원)
MKT-075,2026신축입주,위파크 마륵공원,2026.01,917세대,99,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=위파크 마륵공원 입주예정자협의회,신축 입주 예정자 (광주광역시 서구 금호동 산109번지 일원)
MKT-076,2026신축입주,아야진 라메르 데시앙,2026.01,811세대,99,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=아야진 라메르 데시앙 입주예정자협의회,신축 입주 예정자 (강원도 고성군 토성면 아야진리 산21번지 외 44필지)
MKT-077,2026신축입주,청주 동일하이빌 파크레인,2026.01,800세대,99,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=청주 동일하이빌 파크레인 입주예정자협의회,신축 입주 예정자 (충청북도 청주시 서원구 개신동 70-10번지 일원(청주개신2지구 도시개발사업A2블럭))
MKT-078,2026신축입주,인천 두산위브 더센트럴,2026.01,785세대,99,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=인천 두산위브 더센트럴 입주예정자협의회,신축 입주 예정자 (인천광역시 동구 송림동 42-215)
MKT-079,2026신축입주,가야역 롯데캐슬 스카이엘,2026.01,725세대,99,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=가야역 롯데캐슬 스카이엘 입주예정자협의회,신축 입주 예정자 (부산광역시 부산진구 가야동 3-11번지 일원)
MKT-080,2026신축입주,어나드 범어,2026.01,604세대,99,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=어나드 범어 입주예정자협의회,신축 입주 예정자 (대구광역시 수성구 범어동 1)
MKT-081,2026신축입주,수원성 중흥S-클래스,2026.01,593세대,99,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=수원성 중흥S-클래스 입주예정자협의회,신축 입주 예정자 (경기도 수원시 팔달구 지동 349-1번지 일원)
MKT-082,2026신축입주,양주 회천지구 A-12BL 라온프라이빗(사전청약),2026.01,568세대,99,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=양주 회천지구 A-12BL 라온프라이빗(사전청약) 입주예정자협의회,신축 입주 예정자 (경기도 양주시 양주회천지구 A12BL)
MKT-083,2026신축입주,철산자이 브리에르,2026.01,393세대,90,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=철산자이 브리에르 입주예정자협의회,신축 입주 예정자 (경기도 광명시 철산동 105번지 일원)
MKT-084,2026신축입주,김해 삼계 동일스위트,2026.01,299세대,90,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=김해 삼계 동일스위트 입주예정자협의회,신축 입주 예정자 (경상남도 김해시 삼계동 397-1번지 일원)
MKT-085,2026신축입주,아산 벨코어 스위첸,2026.01,299세대,90,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=아산 벨코어 스위첸 입주예정자협의회,신축 입주 예정자 (충청남도 아산시 모종동 555-1외)
MKT-086,2026신축입주,양양 금호어울림 더퍼스트,2026.01,279세대,90,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=양양 금호어울림 더퍼스트 입주예정자협의회,신축 입주 예정자 (강원도 양양군 양양읍 구교리 57번지 외 14필지)
MKT-087,2026신축입주,이천 빌리브 어바인시티 2BL,2026.01,264세대,90,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=이천 빌리브 어바인시티 2BL 입주예정자협의회,신축 입주 예정자 (경기도 이천시 안흥동 272-6번지 일원)
MKT-088,2026신축입주,이천 빌리브 어바인시티 1BL,2026.01,264세대,90,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=이천 빌리브 어바인시티 1BL 입주예정자협의회,신축 입주 예정자 (경기도 이천시 안흥동 270번지 일원)
MKT-089,2026신축입주,e편한세상 강동 프레스티지원,2026.01,263세대,90,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=e편한세상 강동 프레스티지원 입주예정자협의회,신축 입주 예정자 (서울특별시 강동구 천호동 423-76번지 일대)
MKT-090,2026신축입주,잠실 르엘,2026.01,216세대,90,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=잠실 르엘 입주예정자협의회,신축 입주 예정자 (서울특별시 송파구 신천동 17-6번지 일대)
MKT-091,2026신축입주,마석역 극동스타클래스 더퍼스트,2026.01,138세대,90,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=마석역 극동스타클래스 더퍼스트 입주예정자협의회,신축 입주 예정자 (경기도 남양주시 화도읍 마석우리 251외 1필지)
MKT-092,2026신축입주,광명 소하 신원아침도시2,2026.01,82세대,90,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=광명 소하 신원아침도시2 입주예정자협의회,신축 입주 예정자 (경기도 광명시 소하동 883-18번지 일원)
MKT-093,2026신축입주,벨루미체 첨단,2026.01,57세대,90,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=벨루미체 첨단 입주예정자협의회,신축 입주 예정자 (광주광역시 광산구 쌍암동 694-77 외 3필지)
MKT-094,2026신축입주,남양주 별내리슈빌아파트 분양전환 후 잔여세대,2026.01,34세대,90,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=남양주 별내리슈빌아파트 분양전환 후 잔여세대 입주예정자협의회,"신축 입주 예정자 (경기도 남양주시 별내5로 119, 별내리슈빌 아파트)"
MKT-095,2026신축입주,둔산 자이 아이파크(보류지),2026.01,18세대,90,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=둔산 자이 아이파크(보류지) 입주예정자협의회,신축 입주 예정자 (대전광역시 서구 탄방동 514-360번지 일원)
MKT-096,2026신축입주,강릉역 경남아너스빌 더 센트로(조합원 취소분),2026.01,16세대,90,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=강릉역 경남아너스빌 더 센트로(조합원 취소분) 입주예정자협의회,신축 입주 예정자 (강원특별자치도 강릉시 명륜로 85번지)
MKT-097,2026신축입주,둔산 자이 아이파크,2026.01,12세대,90,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=둔산 자이 아이파크 입주예정자협의회,신축 입주 예정자 (대전광역시 서구 탄방동 514-360번지 일원)
MKT-098,2026신축입주,두류센트레빌 더 파크(조합원 취소분)(2회차),2026.01,1세대,90,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=두류센트레빌 더 파크(조합원 취소분)(2회차) 입주예정자협의회,신축 입주 예정자 (대구광역시 달서구 두류동 638-19번지 일원)
MKT-099,2026신축입주,더샵 신문그리니티,2026.02,1146세대,99,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=더샵 신문그리니티 입주예정자협의회,신축 입주 예정자 (경상남도 김해시 신문동 신문1지구 A7-1블럭 일원)
MKT-100,2026신축입주,동탄신도시 금강펜테리움 6차 센트럴파크(A59블럭),2026.02,1103세대,99,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=동탄신도시 금강펜테리움 6차 센트럴파크(A59블럭) 입주예정자협의회,신축 입주 예정자 (경기도 화성시 신동 동탄2택지개발지구 A-59블럭)
MKT-101,2026신축입주,파주운정3지구 A23블록 공공분양주택,2026.02,1012세대,99,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=파주운정3지구 A23블록 공공분양주택 입주예정자협의회,신축 입주 예정자 (경기도 파주시 동패동 파주운정3 택지개발지구 내 A23BL)
MKT-102,2026신축입주,창원 롯데캐슬 포레스트 2BL,2026.02,998세대,99,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=창원 롯데캐슬 포레스트 2BL 입주예정자협의회,신축 입주 예정자 (경상남도 창원시 의창구 사화동 147번지 외 43필지)
MKT-103,2026신축입주,힐스테이트 대명 센트럴 2차,2026.02,977세대,99,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=힐스테이트 대명 센트럴 2차 입주예정자협의회,신축 입주 예정자 (대구광역시 남구 대명동 202-1번지 일원)
MKT-104,2026신축입주,포레나 대전학하 1단지,2026.02,872세대,99,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=포레나 대전학하 1단지 입주예정자협의회,신축 입주 예정자 (대전광역시 유성구 학하동 676-1번지 일원)
MKT-105,2026신축입주,이천중리B2-BL 우미린 트리쉐이드,2026.02,849세대,99,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=이천중리B2-BL 우미린 트리쉐이드 입주예정자협의회,신축 입주 예정자 (경기도 이천시 이천중리 택지개발지구내 B2블럭)
MKT-106,2026신축입주,아산자이 그랜드파크 2단지,2026.02,849세대,99,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=아산자이 그랜드파크 2단지 입주예정자협의회,신축 입주 예정자 (충청남도 아산시 용화동 133-2번지 일원)
MKT-107,2026신축입주,힐스테이트 자이 아산센텀,2026.02,787세대,99,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=힐스테이트 자이 아산센텀 입주예정자협의회,신축 입주 예정자 (충남 아산시 배방읍 세교리 1600 (아산탕정 택지개발지구 2-A11BL))
MKT-108,2026신축입주,아산자이 그랜드파크 1단지,2026.02,739세대,99,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=아산자이 그랜드파크 1단지 입주예정자협의회,신축 입주 예정자 (충청남도 아산시 용화동 137-1번지 일원)
MKT-109,2026신축입주,화성태안3지구 B-3블록 공공분양주택(본청약),2026.02,688세대,99,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=화성태안3지구 B-3블록 공공분양주택(본청약) 입주예정자협의회,"신축 입주 예정자 (경기도 화성시 송산동, 안녕동 일원 화성태안3 택지개발사업지구 내 B-3블록)"
MKT-110,2026신축입주,힐스테이트 칠성 더오페라,2026.02,577세대,99,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=힐스테이트 칠성 더오페라 입주예정자협의회,신축 입주 예정자 (대구광역시 북구 칠성동2가 321번지 일원)
MKT-111,2026신축입주,천안 일봉공원 호반써밋 센트럴파크(1BL),2026.02,453세대,90,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=천안 일봉공원 호반써밋 센트럴파크(1BL) 입주예정자협의회,신축 입주 예정자 (충청남도 천안시 동남구 용곡동 462-77번지 일원)
MKT-112,2026신축입주,범어자이,2026.02,399세대,90,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=범어자이 입주예정자협의회,신축 입주 예정자 (대구광역시 수성구 범어동 48-26번지 일원)
MKT-113,2026신축입주,퀸즈이즈카운티,2026.02,268세대,90,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=퀸즈이즈카운티 입주예정자협의회,신축 입주 예정자 (부산광역시 동구 범일동 828-9번지)
MKT-114,2026신축입주,오목천역 더리브,2026.02,201세대,90,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=오목천역 더리브 입주예정자협의회,신축 입주 예정자 (경기도 수원시 권선구 오목천동 319-1)
MKT-115,2026신축입주,백년문화공원 극동스타클래스,2026.02,166세대,90,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=백년문화공원 극동스타클래스 입주예정자협의회,신축 입주 예정자 (경상남도 진주시 주약동 183-1번지 외 4필지)
MKT-116,2026신축입주,대전 에테르 스위첸,2026.02,138세대,90,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=대전 에테르 스위첸 입주예정자협의회,신축 입주 예정자 (대전광역시 서구 용문동 594-6번지 외 7필지)
MKT-117,2026신축입주,광산센트럴파크,2026.02,117세대,90,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=광산센트럴파크 입주예정자협의회,신축 입주 예정자 (광주광역시 광산구 하산동 254-1번지 일원)
MKT-118,2026신축입주,외도 성원상떼빌,2026.02,83세대,90,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=외도 성원상떼빌 입주예정자협의회,신축 입주 예정자 (제주특별자치도 제주시 외도일동 499-3일원)
MKT-119,2026신축입주,역곡역 아테움 스위첸,2026.02,50세대,90,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=역곡역 아테움 스위첸 입주예정자협의회,신축 입주 예정자 (경기도 부천시 괴안동 91-1번지 외 1필지)
MKT-120,2026신축입주,광명 소하 신원아침도시1,2026.02,33세대,90,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=광명 소하 신원아침도시1 입주예정자협의회,신축 입주 예정자 (경기도 광명시 소하동 893-3번지 일원)
MKT-121,2026신축입주,힐스테이트 평택 화양,2026.03,1571세대,99,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=힐스테이트 평택 화양 입주예정자협의회,신축 입주 예정자 (경기도 평택시 현덕면 평택 화양지구 도시개발사업 5BL)
MKT-122,2026신축입주,지제역 반도체밸리 제일풍경채 2블록,2026.03,1152세대,99,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=지제역 반도체밸리 제일풍경채 2블록 입주예정자협의회,신축 입주 예정자 (경기도 평택시 가재지구 도시개발사업 공동 2BL)
MKT-123,2026신축입주,에코델타시티 대성베르힐 17BL,2026.03,1120세대,99,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=에코델타시티 대성베르힐 17BL 입주예정자협의회,신축 입주 예정자 (부산광역시 강서구 강동동 에코델타시티 17BL)
MKT-124,2026신축입주,힐스테이트 모종 블랑루체,2026.03,1060세대,99,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=힐스테이트 모종 블랑루체 입주예정자협의회,신축 입주 예정자 (충청남도 아산시 모종동 아산모종2지구 B1블럭)
MKT-125,2026신축입주,달서 푸르지오 시그니처,2026.03,993세대,99,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=달서 푸르지오 시그니처 입주예정자협의회,신축 입주 예정자 (대구광역시 달서구 본리동 358-5)
MKT-126,2026신축입주,운정자이 시그니처,2026.03,988세대,99,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=운정자이 시그니처 입주예정자협의회,신축 입주 예정자 (경기도 파주시 운정3지구 A19블록(경기도 파주시 목동동 산26번지 일원))
MKT-127,2026신축입주,두산위브더제니스 센트럴 원주,2026.03,952세대,99,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=두산위브더제니스 센트럴 원주 입주예정자협의회,신축 입주 예정자 (강원도 원주시 원동 129-1번지 일원)
MKT-128,2026신축입주,구리역 롯데캐슬 시그니처,2026.03,679세대,99,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=구리역 롯데캐슬 시그니처 입주예정자협의회,신축 입주 예정자 (경기도 구리시 인창동 289-29번지 일원)
MKT-129,2026신축입주,e편한세상 삼천포 오션프라임,2026.03,677세대,99,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=e편한세상 삼천포 오션프라임 입주예정자협의회,신축 입주 예정자 (경상남도 사천시 동금동 151-1번지 일원)
MKT-130,2026신축입주,해링턴 플레이스 진사(2BL),2026.03,637세대,99,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=해링턴 플레이스 진사(2BL) 입주예정자협의회,신축 입주 예정자 (경기도 안성시 공도읍 진사리 33번지 일원)
MKT-131,2026신축입주,군산 한라비발디 더프라임,2026.03,633세대,99,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=군산 한라비발디 더프라임 입주예정자협의회,신축 입주 예정자 (전라북도 군산시 지곡동 126번지 일원)
MKT-132,2026신축입주,인천 검단신도시 AB19블럭 호반써밋(본청약),2026.03,555세대,99,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=인천 검단신도시 AB19블럭 호반써밋(본청약) 입주예정자협의회,신축 입주 예정자 (인천광역시 서구 불로동 547-10)
MKT-133,2026신축입주,제일풍경채 의왕고천(본청약),2026.03,466세대,90,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=제일풍경채 의왕고천(본청약) 입주예정자협의회,신축 입주 예정자 (경기도 의왕시 고천공공주택지구 B-2BL)
MKT-134,2026신축입주,해링턴 플레이스 진사(1BL),2026.03,355세대,90,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=해링턴 플레이스 진사(1BL) 입주예정자협의회,신축 입주 예정자 (경기도 안성시 공도읍 진사리 29-13번지 일원)
MKT-135,2026신축입주,거제 유림노르웨이숲 디오션,2026.03,299세대,90,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=거제 유림노르웨이숲 디오션 입주예정자협의회,신축 입주 예정자 (경상남도 거제시 장승포동 499번지 일원)
MKT-136,2026신축입주,영등포자이 디그니티,2026.03,185세대,90,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=영등포자이 디그니티 입주예정자협의회,신축 입주 예정자 (서울특별시 영등포구 양평동1가 265-1일대)
MKT-137,2026신축입주,도봉 금호어울림 리버파크,2026.03,130세대,90,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=도봉 금호어울림 리버파크 입주예정자협의회,신축 입주 예정자 (서울특별시 도봉구 도봉2동 95번지)
MKT-138,2026신축입주,가양동 다우갤러리 휴리움,2026.03,63세대,90,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=가양동 다우갤러리 휴리움 입주예정자협의회,신축 입주 예정자 (대전광역시 동구 가양동 53-6번지 일원)
MKT-139,2026신축입주,리첸시아 표선 IB EDU,2026.03,50세대,90,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=리첸시아 표선 IB EDU 입주예정자협의회,신축 입주 예정자 (제주특별자치도 서귀포시 표선면 표선리 2957(구 주소 : 536-1외 ))
MKT-140,2026신축입주,울산 우정혁신도시 B1블록(골드클래스) 분양전환 후 잔여세대,2026.03,34세대,90,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=울산 우정혁신도시 B1블록(골드클래스) 분양전환 후 잔여세대 입주예정자협의회,"신축 입주 예정자 (울산광역시 중구 종가로 760 (장현동, 골드클래스))"
MKT-141,2026신축입주,우방아이유쉘 중부센트럴,2026.03,34세대,90,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=우방아이유쉘 중부센트럴 입주예정자협의회,신축 입주 예정자 (경상남도 양산시 중부동 160번지 일원)
MKT-142,2026신축입주,힐스테이트 지석(조합원취소분),2026.03,9세대,90,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=힐스테이트 지석(조합원취소분) 입주예정자협의회,신축 입주 예정자 (광주광역시 남구 지석동 506번지 일원)
MKT-143,2026신축입주,광주 더파크 비스타 데시앙,2026.04,1690세대,99,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=광주 더파크 비스타 데시앙 입주예정자협의회,신축 입주 예정자 (경기도 광주시 역동 산 1-39외 17필지)
MKT-144,2026신축입주,대명자이 그랜드시티,2026.04,1501세대,99,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=대명자이 그랜드시티 입주예정자협의회,신축 입주 예정자 (대구광역시 남구 대명3동 2301-2번지 일원)
MKT-145,2026신축입주,오산세교2지구 A-3블록 파라곤,2026.04,1068세대,99,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=오산세교2지구 A-3블록 파라곤 입주예정자협의회,신축 입주 예정자 (경기도 오산시 궐동 오산세교2지구 A3 블록)
MKT-146,2026신축입주,청주 동일하이빌 파크레인 2단지,2026.04,800세대,99,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=청주 동일하이빌 파크레인 2단지 입주예정자협의회,신축 입주 예정자 (충청북도 청주시 서원구 개신동 89-1번지 일원)
MKT-147,2026신축입주,힐스테이트 회룡역파크뷰,2026.04,674세대,99,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=힐스테이트 회룡역파크뷰 입주예정자협의회,신축 입주 예정자 (경기도 의정부시 호원동 281-21번지)
MKT-148,2026신축입주,운암자이포레나 퍼스티체 2단지,2026.04,561세대,99,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=운암자이포레나 퍼스티체 2단지 입주예정자협의회,신축 입주 예정자 (광주광역시 북구 운암동 252번지 일원)
MKT-149,2026신축입주,영종 오션파크 모아엘가 그랑데,2026.04,560세대,99,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=영종 오션파크 모아엘가 그랑데 입주예정자협의회,신축 입주 예정자 (인천광역시 중구 운남동 1710-1 (영종국제도시 A61블럭))
MKT-150,2026신축입주,벤처밸리 푸르지오,2026.04,540세대,99,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=벤처밸리 푸르지오 입주예정자협의회,신축 입주 예정자 (대구광역시 동구 신천동 311-4번지 일원)
MKT-151,2026신축입주,힐스테이트 동대구 센트럴,2026.04,481세대,90,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=힐스테이트 동대구 센트럴 입주예정자협의회,신축 입주 예정자 (대구광역시 동구 신천동 137-1번지 일원)
MKT-152,2026신축입주,검단신도시 롯데캐슬 넥스티엘,2026.04,372세대,90,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=검단신도시 롯데캐슬 넥스티엘 입주예정자협의회,신축 입주 예정자 (인천광역시 서구 원당동 1061-1 / 검단신도시 RC1 블록)
