우선순위,입주예정월,단지명,총공급세대,공급위치,시행_시공사,추천상품,입예협_검색어
90,2026.01,양양 금호어울림 더퍼스트,279,강원도 양양군 양양읍 구교리 57번지 외 14필지,한국자산신탁(주),"얼음정수기, 비데, 공기청정기, 식세기",양양 금호어울림 더퍼스트 입주예정자협의회
90,2026.01,이천 빌리브 어바인시티 2BL,264,경기도 이천시 안흥동 272-6번지 일원,(주)더랜드인베스트,"얼음정수기, 비데, 공기청정기, 식세기",이천 빌리브 어바인시티 2BL 입주예정자협의회
90,2026.01,이천 빌리브 어바인시티 1BL,264,경기도 이천시 안흥동 270번지 일원,주식회사 더로렌,"얼음정수기, 비데, 공기청정기, 식세기",이천 빌리브 어바인시티 1BL 입주예정자협의회
90,2026.01,e편한세상 강동 프레스티지원,263,서울특별시 강동구 천호동 423-76번지 일대,천호3주택재건축정비사업조합,"얼음정수기, 비데, 공기청정기, 식세기",e편한세상 강동 프레스티지원 입주예정자협의회
90,2026.01,잠실 르엘,216,서울특별시 송파구 신천동 17-6번지 일대,잠실미성크로바아파트 주택재건축정비사업조합,"얼음정수기, 비데, 공기청정기, 식세기",잠실 르엘 입주예정자협의회
90,2026.01,마석역 극동스타클래스 더퍼스트,138,경기도 남양주시 화도읍 마석우리 251외 1필지,한국투자부동산신탁 주식회사,"얼음정수기, 비데, 공기청정기, 식세기",마석역 극동스타클래스 더퍼스트 입주예정자협의회
90,2026.01,광명 소하 신원아침도시2,82,경기도 광명시 소하동 883-18번지 일원,소하동2구역가로주택정비사업조합,"얼음정수기, 비데, 공기청정기, 식세기",광명 소하 신원아침도시2 입주예정자협의회
90,2026.01,벨루미체 첨단,57,광주광역시 광산구 쌍암동 694-77 외 3필지,코리아신탁(주),"얼음정수기, 비데, 공기청정기, 식세기",벨루미체 첨단 입주예정자협의회
90,2026.01,남양주 별내리슈빌아파트 분양전환 후 잔여세대,34,"경기도 남양주시 별내5로 119, 별내리슈빌 아파트",공무원연금공단,"얼음정수기, 비데, 공기청정기, 식세기",남양주 별내리슈빌아파트 분양전환 후 잔여세대 입주예정자협의회
90,2026.01,둔산 자이 아이파크(보류지),18,대전광역시 서구 탄방동 514-360번지 일원,숭어리샘주택재건축정비사업조합,"얼음정수기, 비데, 공기청정기, 식세기",둔산 자이 아이파크(보류지) 입주예정자협의회
90,2026.01,강릉역 경남아너스빌 더 센트로(조합원 취소분),16,강원특별자치도 강릉시 명륜로 85번지,강릉교동센트럴파크지역주택조합,"얼음정수기, 비데, 공기청정기, 식세기",강릉역 경남아너스빌 더 센트로(조합원 취소분) 입주예정자협의회
90,2026.01,둔산 자이 아이파크,12,대전광역시 서구 탄방동 514-360번지 일원,숭어리샘주택재건축정비사업조합,"얼음정수기, 비데, 공기청정기, 식세기",둔산 자이 아이파크 입주예정자협의회
90,2026.01,두류센트레빌 더 파크(조합원 취소분)(2회차),1,대구광역시 달서구 두류동 638-19번지 일원,두류야외음악당지역주택조합,"얼음정수기, 비데, 공기청정기, 식세기",두류센트레빌 더 파크(조합원 취소분)(2회차) 입주예정자협의회
99,2026.02,더샵 신문그리니티,1146,경상남도 김해시 신문동 신문1지구 A7-1블럭 일원,(주)무궁화신탁,"얼음정수기, 비데, 공기청정기, 식세기",더샵 신문그리니티 입주예정자협의회
99,2026.02,동탄신도시 금강펜테리움 6차 센트럴파크(A59블럭),1103,경기도 화성시 신동 동탄2택지개발지구 A-59블럭,(주)펜테리움건설,"얼음정수기, 비데, 공기청정기, 식세기",동탄신도시 금강펜테리움 6차 센트럴파크(A59블럭) 입주예정자협의회
99,2026.02,파주운정3지구 A23블록 공공분양주택,1012,경기도 파주시 동패동 파주운정3 택지개발지구 내 A23BL,한국토지주택공사 인천지역본부,"얼음정수기, 비데, 공기청정기, 식세기",파주운정3지구 A23블록 공공분양주택 입주예정자협의회
99,2026.02,창원 롯데캐슬 포레스트 2BL,998,경상남도 창원시 의창구 사화동 147번지 외 43필지,대신자산신탁 주식회사,"얼음정수기, 비데, 공기청정기, 식세기",창원 롯데캐슬 포레스트 2BL 입주예정자협의회
99,2026.02,힐스테이트 대명 센트럴 2차,977,대구광역시 남구 대명동 202-1번지 일원,주식회사 하나자산신탁,"얼음정수기, 비데, 공기청정기, 식세기",힐스테이트 대명 센트럴 2차 입주예정자협의회
99,2026.02,포레나 대전학하 1단지,872,대전광역시 유성구 학하동 676-1번지 일원,주식회사 하나자산신탁,"얼음정수기, 비데, 공기청정기, 식세기",포레나 대전학하 1단지 입주예정자협의회
99,2026.02,이천중리B2-BL 우미린 트리쉐이드,849,경기도 이천시 이천중리 택지개발지구내 B2블럭,이천중리비투피에프브이(주),"얼음정수기, 비데, 공기청정기, 식세기",이천중리B2-BL 우미린 트리쉐이드 입주예정자협의회
99,2026.02,아산자이 그랜드파크 2단지,849,충청남도 아산시 용화동 133-2번지 일원,주식회사 하나자산신탁,"얼음정수기, 비데, 공기청정기, 식세기",아산자이 그랜드파크 2단지 입주예정자협의회
99,2026.02,힐스테이트 자이 아산센텀,787,충남 아산시 배방읍 세교리 1600 (아산탕정 택지개발지구 2-A11BL),주식회사 아산탕정고양삼송주택개발위탁관리부동산투자회사,"얼음정수기, 비데, 공기청정기, 식세기",힐스테이트 자이 아산센텀 입주예정자협의회
99,2026.02,아산자이 그랜드파크 1단지,739,충청남도 아산시 용화동 137-1번지 일원,주식회사 하나자산신탁,"얼음정수기, 비데, 공기청정기, 식세기",아산자이 그랜드파크 1단지 입주예정자협의회
99,2026.02,화성태안3지구 B-3블록 공공분양주택(본청약),688,"경기도 화성시 송산동, 안녕동 일원 화성태안3 택지개발사업지구 내 B-3블록",한국토지주택공사 경기남부지역본부,"얼음정수기, 비데, 공기청정기, 식세기",화성태안3지구 B-3블록 공공분양주택(본청약) 입주예정자협의회
99,2026.02,힐스테이트 칠성 더오페라,577,대구광역시 북구 칠성동2가 321번지 일원,우리자산신탁 주식회사,"얼음정수기, 비데, 공기청정기, 식세기",힐스테이트 칠성 더오페라 입주예정자협의회
90,2026.02,천안 일봉공원 호반써밋 센트럴파크(1BL),453,충청남도 천안시 동남구 용곡동 462-77번지 일원,한국자산신탁(주),"얼음정수기, 비데, 공기청정기, 식세기",천안 일봉공원 호반써밋 센트럴파크(1BL) 입주예정자협의회
90,2026.02,범어자이,399,대구광역시 수성구 범어동 48-26번지 일원,케이비부동산신탁(주),"얼음정수기, 비데, 공기청정기, 식세기",범어자이 입주예정자협의회
90,2026.02,퀸즈이즈카운티,268,부산광역시 동구 범일동 828-9번지,(주)무궁화신탁,"얼음정수기, 비데, 공기청정기, 식세기",퀸즈이즈카운티 입주예정자협의회
90,2026.02,오목천역 더리브,201,경기도 수원시 권선구 오목천동 319-1,신한자산신탁 주식회사,"얼음정수기, 비데, 공기청정기, 식세기",오목천역 더리브 입주예정자협의회
90,2026.02,백년문화공원 극동스타클래스,166,경상남도 진주시 주약동 183-1번지 외 4필지,주식회사 하나자산신탁,"얼음정수기, 비데, 공기청정기, 식세기",백년문화공원 극동스타클래스 입주예정자협의회
90,2026.02,대전 에테르 스위첸,138,대전광역시 서구 용문동 594-6번지 외 7필지,신한자산신탁 주식회사,"얼음정수기, 비데, 공기청정기, 식세기",대전 에테르 스위첸 입주예정자협의회
90,2026.02,광산센트럴파크,117,광주광역시 광산구 하산동 254-1번지 일원,광산센트럴파크지역주택조합,"얼음정수기, 비데, 공기청정기, 식세기",광산센트럴파크 입주예정자협의회
90,2026.02,외도 성원상떼빌,83,제주특별자치도 제주시 외도일동 499-3일원,코리아신탁(주),"얼음정수기, 비데, 공기청정기, 식세기",외도 성원상떼빌 입주예정자협의회
90,2026.02,역곡역 아테움 스위첸,50,경기도 부천시 괴안동 91-1번지 외 1필지,청암아파트소규모재건축사업조합,"얼음정수기, 비데, 공기청정기, 식세기",역곡역 아테움 스위첸 입주예정자협의회
90,2026.02,광명 소하 신원아침도시1,33,경기도 광명시 소하동 893-3번지 일원,정우연립소규모주택재건축정비사업조합,"얼음정수기, 비데, 공기청정기, 식세기",광명 소하 신원아침도시1 입주예정자협의회
99,2026.03,힐스테이트 평택 화양,1571,경기도 평택시 현덕면 평택 화양지구 도시개발사업 5BL,신한자산신탁 주식회사,"얼음정수기, 비데, 공기청정기, 식세기",힐스테이트 평택 화양 입주예정자협의회
99,2026.03,지제역 반도체밸리 제일풍경채 2블록,1152,경기도 평택시 가재지구 도시개발사업 공동 2BL,주식회사 씨지주택,"얼음정수기, 비데, 공기청정기, 식세기",지제역 반도체밸리 제일풍경채 2블록 입주예정자협의회
99,2026.03,에코델타시티 대성베르힐 17BL,1120,부산광역시 강서구 강동동 에코델타시티 17BL,주식회사 부산에코델타시티피에프브이,"얼음정수기, 비데, 공기청정기, 식세기",에코델타시티 대성베르힐 17BL 입주예정자협의회
99,2026.03,힐스테이트 모종 블랑루체,1060,충청남도 아산시 모종동 아산모종2지구 B1블럭,한국자산신탁(주),"얼음정수기, 비데, 공기청정기, 식세기",힐스테이트 모종 블랑루체 입주예정자협의회
99,2026.03,달서 푸르지오 시그니처,993,대구광역시 달서구 본리동 358-5,코리아신탁(주),"얼음정수기, 비데, 공기청정기, 식세기",달서 푸르지오 시그니처 입주예정자협의회
99,2026.03,운정자이 시그니처,988,경기도 파주시 운정3지구 A19블록(경기도 파주시 목동동 산26번지 일원),지에스건설(주),"얼음정수기, 비데, 공기청정기, 식세기",운정자이 시그니처 입주예정자협의회
99,2026.03,두산위브더제니스 센트럴 원주,952,강원도 원주시 원동 129-1번지 일원,원동남산지구 주택재개발정비사업조합,"얼음정수기, 비데, 공기청정기, 식세기",두산위브더제니스 센트럴 원주 입주예정자협의회
99,2026.03,구리역 롯데캐슬 시그니처,679,경기도 구리시 인창동 289-29번지 일원,인창씨구역주택재개발정비사업조합,"얼음정수기, 비데, 공기청정기, 식세기",구리역 롯데캐슬 시그니처 입주예정자협의회
99,2026.03,e편한세상 삼천포 오션프라임,677,경상남도 사천시 동금동 151-1번지 일원,대한토지신탁(주),"얼음정수기, 비데, 공기청정기, 식세기",e편한세상 삼천포 오션프라임 입주예정자협의회
99,2026.03,해링턴 플레이스 진사(2BL),637,경기도 안성시 공도읍 진사리 33번지 일원,우리자산신탁 주식회사,"얼음정수기, 비데, 공기청정기, 식세기",해링턴 플레이스 진사(2BL) 입주예정자협의회
99,2026.03,군산 한라비발디 더프라임,633,전라북도 군산시 지곡동 126번지 일원,코리아신탁(주),"얼음정수기, 비데, 공기청정기, 식세기",군산 한라비발디 더프라임 입주예정자협의회
99,2026.03,인천 검단신도시 AB19블럭 호반써밋(본청약),555,인천광역시 서구 불로동 547-10,(주)호반건설,"얼음정수기, 비데, 공기청정기, 식세기",인천 검단신도시 AB19블럭 호반써밋(본청약) 입주예정자협의회
90,2026.03,제일풍경채 의왕고천(본청약),466,경기도 의왕시 고천공공주택지구 B-2BL,의왕고천피에프브이 주식회사,"얼음정수기, 비데, 공기청정기, 식세기",제일풍경채 의왕고천(본청약) 입주예정자협의회
90,2026.03,해링턴 플레이스 진사(1BL),355,경기도 안성시 공도읍 진사리 29-13번지 일원,우리자산신탁 주식회사,"얼음정수기, 비데, 공기청정기, 식세기",해링턴 플레이스 진사(1BL) 입주예정자협의회
90,2026.03,거제 유림노르웨이숲 디오션,299,경상남도 거제시 장승포동 499번지 일원,교보자산신탁(주),"얼음정수기, 비데, 공기청정기, 식세기",거제 유림노르웨이숲 디오션 입주예정자협의회
90,2026.03,영등포자이 디그니티,185,서울특별시 영등포구 양평동1가 265-1일대,양평제12구역도시환경정비사업조합,"얼음정수기, 비데, 공기청정기, 식세기",영등포자이 디그니티 입주예정자협의회
90,2026.03,도봉 금호어울림 리버파크,130,서울특별시 도봉구 도봉2동 95번지,도봉제2구역주택재개발정비사업조합,"얼음정수기, 비데, 공기청정기, 식세기",도봉 금호어울림 리버파크 입주예정자협의회
90,2026.03,가양동 다우갤러리 휴리움,63,대전광역시 동구 가양동 53-6번지 일원,동신아파트주택재건축정비사업조합,"얼음정수기, 비데, 공기청정기, 식세기",가양동 다우갤러리 휴리움 입주예정자협의회
90,2026.03,리첸시아 표선 IB EDU,50,제주특별자치도 서귀포시 표선면 표선리 2957(구 주소 : 536-1외 ),주식회사 태흥주택건설,"얼음정수기, 비데, 공기청정기, 식세기",리첸시아 표선 IB EDU 입주예정자협의회
90,2026.03,울산 우정혁신도시 B1블록(골드클래스) 분양전환 후 잔여세대,34,"울산광역시 중구 종가로 760 (장현동, 골드클래스)",골드클래스 주식회사,"얼음정수기, 비데, 공기청정기, 식세기",울산 우정혁신도시 B1블록(골드클래스) 분양전환 후 잔여세대 입주예정자협의회
90,2026.03,우방아이유쉘 중부센트럴,34,경상남도 양산시 중부동 160번지 일원,양산중부동지역주택조합,"얼음정수기, 비데, 공기청정기, 식세기",우방아이유쉘 중부센트럴 입주예정자협의회
90,2026.03,힐스테이트 지석(조합원취소분),9,광주광역시 남구 지석동 506번지 일원,더디시파크지역주택조합,"얼음정수기, 비데, 공기청정기, 식세기",힐스테이트 지석(조합원취소분) 입주예정자협의회
99,2026.04,광주 더파크 비스타 데시앙,1690,경기도 광주시 역동 산 1-39외 17필지,(주)무궁화신탁,"얼음정수기, 비데, 공기청정기, 식세기",광주 더파크 비스타 데시앙 입주예정자협의회
99,2026.04,대명자이 그랜드시티,1501,대구광역시 남구 대명3동 2301-2번지 일원,대명3동뉴타운주택재개발정비사업조합,"얼음정수기, 비데, 공기청정기, 식세기",대명자이 그랜드시티 입주예정자협의회
99,2026.04,오산세교2지구 A-3블록 파라곤,1068,경기도 오산시 궐동 오산세교2지구 A3 블록,주식회사 라인하우징,"얼음정수기, 비데, 공기청정기, 식세기",오산세교2지구 A-3블록 파라곤 입주예정자협의회
99,2026.04,청주 동일하이빌 파크레인 2단지,800,충청북도 청주시 서원구 개신동 89-1번지 일원,주식회사 하나자산신탁,"얼음정수기, 비데, 공기청정기, 식세기",청주 동일하이빌 파크레인 2단지 입주예정자협의회
99,2026.04,힐스테이트 회룡역파크뷰,674,경기도 의정부시 호원동 281-21번지,신한자산신탁 주식회사,"얼음정수기, 비데, 공기청정기, 식세기",힐스테이트 회룡역파크뷰 입주예정자협의회
99,2026.04,운암자이포레나 퍼스티체 2단지,561,광주광역시 북구 운암동 252번지 일원,운암3단지재건축정비사업조합,"얼음정수기, 비데, 공기청정기, 식세기",운암자이포레나 퍼스티체 2단지 입주예정자협의회
99,2026.04,영종 오션파크 모아엘가 그랑데,560,인천광역시 중구 운남동 1710-1 (영종국제도시 A61블럭),덕평산업개발(주),"얼음정수기, 비데, 공기청정기, 식세기",영종 오션파크 모아엘가 그랑데 입주예정자협의회
99,2026.04,벤처밸리 푸르지오,540,대구광역시 동구 신천동 311-4번지 일원,대한토지신탁(주),"얼음정수기, 비데, 공기청정기, 식세기",벤처밸리 푸르지오 입주예정자협의회
90,2026.04,힐스테이트 동대구 센트럴,481,대구광역시 동구 신천동 137-1번지 일원,우리자산신탁 주식회사,"얼음정수기, 비데, 공기청정기, 식세기",힐스테이트 동대구 센트럴 입주예정자협의회
90,2026.04,검단신도시 롯데캐슬 넥스티엘,372,인천광역시 서구 원당동 1061-1 / 검단신도시 RC1 블록,넥스트브이시티피에프브이(주),"얼음정수기, 비데, 공기청정기, 식세기",검단신도시 롯데캐슬 넥스티엘 입주예정자협의회
90,2026.04,고양장항지구 A-2블록 신혼희망타운(공공분양),371,경기도 고양시 일산동구 멱절길 346-106 (장항동),한국토지주택공사 경기북부지역본부,"얼음정수기, 비데, 공기청정기, 식세기",고양장항지구 A-2블록 신혼희망타운(공공분양) 입주예정자협의회
90,2026.04,운암자이포레나 퍼스티체 1단지,354,광주광역시 북구 운암동 252번지 일원,운암3단지재건축정비사업조합,"얼음정수기, 비데, 공기청정기, 식세기",운암자이포레나 퍼스티체 1단지 입주예정자협의회
90,2026.04,운암자이포레나 퍼스티체 3단지,277,광주광역시 북구 운암동 252번지 일원,운암3단지재건축정비사업조합,"얼음정수기, 비데, 공기청정기, 식세기",운암자이포레나 퍼스티체 3단지 입주예정자협의회
90,2026.04,오션포레베네스트하우스(미단시티 공동8BL),253,인천광역시 중구 자연대로 667(오션포레베네스트하우스),(주)시너지밸류제2호,"얼음정수기, 비데, 공기청정기, 식세기",오션포레베네스트하우스(미단시티 공동8BL) 입주예정자협의회
90,2026.04,포레나 인천학익,250,인천광역시 미추홀구 학익2동 290-1,학익4주택재개발정비사업조합,"얼음정수기, 비데, 공기청정기, 식세기",포레나 인천학익 입주예정자협의회
90,2026.04,대구역 센트레빌 더 오페라,245,대구광역시 북구 칠성동2가 302-141번지 일원,(주)한국토지신탁,"얼음정수기, 비데, 공기청정기, 식세기",대구역 센트레빌 더 오페라 입주예정자협의회
90,2026.04,청량리 롯데캐슬 하이루체,173,서울특별시 동대문구 청량리동 199 일원,청량리제7구역주택재개발정비사업조합,"얼음정수기, 비데, 공기청정기, 식세기",청량리 롯데캐슬 하이루체 입주예정자협의회
90,2026.04,변동 동건아파트 우선분양전환 후 잔여세대,139,"대전광역시 서구 변동 59-6 (변동, 동건아파트)",동건종합건설(주),"얼음정수기, 비데, 공기청정기, 식세기",변동 동건아파트 우선분양전환 후 잔여세대 입주예정자협의회
90,2026.04,연수 월드메르디앙 어반포레,133,인천광역시 연수구 동춘동 1152번지 일원,대신자산신탁 주식회사,"얼음정수기, 비데, 공기청정기, 식세기",연수 월드메르디앙 어반포레 입주예정자협의회
90,2026.04,개봉 루브루,114,"서울특별시 구로구 개봉동 369-1, 312-38",길훈아파트 주택재건축정비사업조합,"얼음정수기, 비데, 공기청정기, 식세기",개봉 루브루 입주예정자협의회
90,2026.04,우정동 한양립스 더 센트럴,99,울산광역시 중구 우정동 272-60번지 외,우정동뉴시티지역주택조합,"얼음정수기, 비데, 공기청정기, 식세기",우정동 한양립스 더 센트럴 입주예정자협의회
90,2026.04,어썸웨이브 용산,90,충청북도 충주시 용산동 40번지 외 1필지,한국투자부동산신탁 주식회사,"얼음정수기, 비데, 공기청정기, 식세기",어썸웨이브 용산 입주예정자협의회
90,2026.04,해링턴플레이스 노원 센트럴,61,서울특별시 노원구 노원로 495 (상계동 690),주식회사 엘앤피개발,"얼음정수기, 비데, 공기청정기, 식세기",해링턴플레이스 노원 센트럴 입주예정자협의회
90,2026.04,전주·완주 혁신도시 에코르 2단지 공가세대 일반공급,29,전북특별자치도 완주군 이서면 지사제로 29 (혁신도시 에코르 2단지 아파트),전북개발공사,"얼음정수기, 비데, 공기청정기, 식세기",전주·완주 혁신도시 에코르 2단지 공가세대 일반공급 입주예정자협의회
99,2026.05,학산 한신더휴 엘리트파크,1455,경상북도 포항시 북구 학산동 산53-15번지 외 33필지,우리자산신탁 주식회사,"얼음정수기, 비데, 공기청정기, 식세기",학산 한신더휴 엘리트파크 입주예정자협의회
99,2026.05,포항자이 애서턴,1433,경상북도 포항시 북구 학잠동 93-4번지 일원,한국투자부동산신탁 주식회사,"얼음정수기, 비데, 공기청정기, 식세기",포항자이 애서턴 입주예정자협의회
99,2026.05,창원 롯데캐슬 포레스트 1BL,967,경상남도 창원시 의창구 사화동 162번지 외 32필지,대신자산신탁 주식회사,"얼음정수기, 비데, 공기청정기, 식세기",창원 롯데캐슬 포레스트 1BL 입주예정자협의회
99,2026.05,힐스테이트 속초,925,강원특별자치도 속초시 금호동 622-40 일원,(주)무궁화신탁,"얼음정수기, 비데, 공기청정기, 식세기",힐스테이트 속초 입주예정자협의회
99,2026.05,월명공원 한라비발디 온더파크,874,충청북도 청주시 흥덕구 봉명동 산26번지 일원,주식회사 코람코자산신탁,"얼음정수기, 비데, 공기청정기, 식세기",월명공원 한라비발디 온더파크 입주예정자협의회
99,2026.05,군산 경남아너스빌 디오션,873,전라북도 군산시 조촌동 739-70일원,경남기업(주),"얼음정수기, 비데, 공기청정기, 식세기",군산 경남아너스빌 디오션 입주예정자협의회
99,2026.05,인천 검단신도시 AB13블록 호반써밋Ⅲ(사전청약),815,인천광역시 서구 원당동 검단신도시 AB13블록,티에스리빙 주식회사,"얼음정수기, 비데, 공기청정기, 식세기",인천 검단신도시 AB13블록 호반써밋Ⅲ(사전청약) 입주예정자협의회
99,2026.05,봉담 중흥S-클래스 센트럴에듀,806,경기도 화성시 봉담읍 동화리 동화지구 2BL,더뉴봉담(주),"얼음정수기, 비데, 공기청정기, 식세기",봉담 중흥S-클래스 센트럴에듀 입주예정자협의회
99,2026.05,인천검단신도시 디에트르 더 에듀(AA20BL),781,인천광역시 서구 불로동 검단신도시 AA20BL 공동주택용지,대방개발기업(주),"얼음정수기, 비데, 공기청정기, 식세기",인천검단신도시 디에트르 더 에듀(AA20BL) 입주예정자협의회
99,2026.05,한화 포레나 대전월평공원 2단지,690,대전광역시 서구 도마동 산39-1번지 일원,교보자산신탁(주),"얼음정수기, 비데, 공기청정기, 식세기",한화 포레나 대전월평공원 2단지 입주예정자협의회
99,2026.05,한화 포레나 대전월평공원 1단지,659,대전광역시 서구 정림동 산23-21번지 일원,교보자산신탁(주),"얼음정수기, 비데, 공기청정기, 식세기",한화 포레나 대전월평공원 1단지 입주예정자협의회
99,2026.05,인천가정2지구 A-2블록 신혼희망타운 공공분양주택(본청약),534,"인천광역시 서구 가정동, 심곡동, 연희동, 청라동, 일원 인천가정2 공공주택지구내 A-2블록",한국토지주택공사 인천지역본부,"얼음정수기, 비데, 공기청정기, 식세기",인천가정2지구 A-2블록 신혼희망타운 공공분양주택(본청약) 입주예정자협의회
90,2026.05,교대역 모아엘가 그랑데,461,광주광역시 동구 계림동 125번지 일원,계림4구역 주택재개발정비사업조합,"얼음정수기, 비데, 공기청정기, 식세기",교대역 모아엘가 그랑데 입주예정자협의회
90,2026.05,시화MTV 푸르지오 디오션,400,경기도 시흥시 정왕동 2715,(주)대한씨앤디,"얼음정수기, 비데, 공기청정기, 식세기",시화MTV 푸르지오 디오션 입주예정자협의회
90,2026.05,덕진 거제의 봄 우선분양전환 후 공가세대,376,"경상남도 거제시 아주2로 110 (아주동, 덕진 거제의봄 프리미엄 아파트)",덕진종합건설주식회사,"얼음정수기, 비데, 공기청정기, 식세기",덕진 거제의 봄 우선분양전환 후 공가세대 입주예정자협의회
90,2026.05,엘리프 성남신촌,320,경기도 성남시 수정구 성남신촌 공공주택지구 A2블록(신촌동 179-5번지 일원),계룡건설산업(주),"얼음정수기, 비데, 공기청정기, 식세기",엘리프 성남신촌 입주예정자협의회
90,2026.05,인천가정2 A2블록 신혼희망타운(공공분양) 추가모집,255,"인천광역시 서구 가정동, 심곡동, 연희동, 청라동 일원 인천가정2 공공주택지구내 A-2블록",한국토지주택공사 인천지역본부,"얼음정수기, 비데, 공기청정기, 식세기",인천가정2 A2블록 신혼희망타운(공공분양) 추가모집 입주예정자협의회
90,2026.05,안양자이 더 포레스트,212,경기도 안양시 만안구 석수2동 348번지 일대,화창지구재개발정비사업조합,"얼음정수기, 비데, 공기청정기, 식세기",안양자이 더 포레스트 입주예정자협의회
90,2026.05,더폴 디오션,184,부산광역시 해운대구 송정동 201-1번지 외 6필지,케이비부동산신탁(주),"얼음정수기, 비데, 공기청정기, 식세기",더폴 디오션 입주예정자협의회
90,2026.05,김해 대청천 에피트,131,경상남도 김해시 삼문동 466번지 일원,장유삼문지역주택조합,"얼음정수기, 비데, 공기청정기, 식세기",김해 대청천 에피트 입주예정자협의회
90,2026.05,한화포레나 부산대연,104,부산광역시 남구 대연동 455-25번지,대연3구역재건축정비사업조합,"얼음정수기, 비데, 공기청정기, 식세기",한화포레나 부산대연 입주예정자협의회
90,2026.05,구서 다움포레,68,부산광역시 금정구 구서동 203-14번지 일원,비엠산업개발주식회사,"얼음정수기, 비데, 공기청정기, 식세기",구서 다움포레 입주예정자협의회
90,2026.05,상무 양우내안애 퍼스트힐,57,광주광역시 서구 마륵동 47-7 일원,마륵동연화지역주택조합,"얼음정수기, 비데, 공기청정기, 식세기",상무 양우내안애 퍼스트힐 입주예정자협의회
90,2026.05,힐스테이트 안양펠루스,55,경기도 안양시 만안구 안양동 395-1번지,(주)무궁화신탁,"얼음정수기, 비데, 공기청정기, 식세기",힐스테이트 안양펠루스 입주예정자협의회
90,2026.05,VIORR(비오르),53,"서울특별시 강동구 천호동 356, 356-1번지",케이비부동산신탁(주),"얼음정수기, 비데, 공기청정기, 식세기",VIORR(비오르) 입주예정자협의회
